Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.891156462585034,0.6842105263157895,0.3333333333333333,0.4482758620689655
Decision Tree,0.8571428571428571,0.3333333333333333,0.07692307692307693,0.125
Random Forest,0.8639455782312925,0.4444444444444444,0.10256410256410256,0.16666666666666666
SVM,0.8333333333333334,0.3958333333333333,0.48717948717948717,0.4367816091954023
Naive Bayes,0.8401360544217688,0.42592592592592593,0.5897435897435898,0.4946236559139785
